id,citation_id
10.1145/3531146.3533177,10.1145/3593013.3594066
10.1145/3531146.3533177,10.1145/3593013.3594060
10.1145/3531146.3533177,10.1145/3593013.3594033
10.1145/3531146.3533177,10.1080/10447318.2023.2210890
10.1145/3531146.3533177,10.1145/3544548.3581424
10.1145/3531146.3533177,10.1145/3544548.3581354
10.1145/3531146.3533177,10.1145/3544548.3581308
10.1145/3531146.3533177,10.1145/3544548.3580996
10.1145/3531146.3533177,10.1145/3544548.3580970
10.1145/3531146.3533177,10.1145/3544548.3580959
10.1145/3531146.3533177,10.1145/3544548.3580882
10.1145/3531146.3533177,10.1016/j.ijhcs.2022.102954
10.1145/3531146.3533177,10.1145/3500868.3560484
10.1145/3531146.3533177,10.22367/jem.2022.44.18
