v,w,weight
"Bento, Jo\~{a}o","Bizarro, Pedro",1
"Bento, Jo\~{a}o","Gama, Jo\~{a}o",1
"Bento, Jo\~{a}o","Jesus, S\'{e}rgio",1
"Bento, Jo\~{a}o","Saleiro, Pedro",1
"Berendt, Bettina","Delobelle, Pieter",1
"Berendt, Bettina","Miceli, Milagros",1
"Berendt, Bettina","Scott, Kristen M.",1
"Berendt, Bettina","Sztandar-Sztanderska, Karolina",1
"Berendt, Bettina","Wang, Sonja Mei",1
"Beretta, Elena","Lepri, Bruno",1
"Beretta, Elena","Martin, Juan Carlos De",1
"Beretta, Elena","Vetr\`{o}, Antonio",1
"Bergman, Stevie","Bogen, Miranda",1
"Bergman, Stevie","Cai, William",1
"Bergman, Stevie","Chern, Bobbie",1
"Bergman, Stevie","Corbett-Davies, Sam",1
"Bergman, Stevie","Encarnacion, Ro",1
"Bergman, Stevie","Goel, Sharad",1
"Bertaglia, Thales","Goanta, Catalina",1
"Bertaglia, Thales","Iamnitchi, Adriana",1
"Bertran, Martin","Martinez, Natalia",1
"Bertran, Martin","Papadaki, Afroditi",1
"Bertran, Martin","Rodrigues, Miguel",1
"Bertran, Martin","Sapiro, Guillermo",1
"Beslay, Laurent","Hamon, Ronan",1
"Beslay, Laurent","Hert, Paul De",1
"Beslay, Laurent","Junklewitz, Henrik",1
"Beslay, Laurent","Malgieri, Gianclaudio",1
